product_handle,product_url,reviewer_name,reviewer_email,rating,title,body,review_date
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Absolutely amazed by the speed,"Ordered yesterday afternoon, arrived 9.45 this morning. Doesn't get better than that. I only expected 3 sacks but received 5! Also arrived with a small confectionary gift. The kindling looks perfect — very dry and an ideal size. Will certainly be using this company again.",27/02/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Best kindling I've ever bought,"Well there is not a lot you can say about kindling fire wood except it is the best I have ever bought — delivered on time, very well packaged, and good value for money. Will re-order from Xylo UK again. Very pleased, thank you.",28/01/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Second time purchasing,"Second time purchasing kindling from this seller — amazingly quick delivery and the wood is amazing, perfect size and properly dry so it lights super quick. Will continue to order. Free delivery for an item over 15kg is fantastic. Thank you.",21/11/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Kindling contained in easy-to-handle sacks,Service was fast and efficient. Arrived neatly packaged in a box. Kindling contained in 6 easy to handle netted sacks. Excellent kindling for an open fire or stove. Highly recommended A+.,16/11/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,With a personal note from Sammy,"Arrived on time, very well packaged, personal message and gift from Sammy which was a very nice touch. All round excellent product and service.",13/04/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Excellent service from a British producer,Excellent service. Very good quality charcoal and good to buy from a British producer.,15/05/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Said what they did. Did what they said.,Said what they did. Did what they said. Refreshing change! Good seller.,31/01/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Consistently good and fairly priced,Consistently good product at a fair price and always delivered promptly. What more could one ask for?,05/04/2026
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Well packaged and delivered swiftly,"The charcoal was well packaged, as described and delivered swiftly. Can't ask for more.",19/02/2026
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Highly recommended,I have used this company several times now and they have not let me down.,11/10/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Have bought multiple times,Have bought multiple times — good price and excellent delivery.,19/12/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Great seller — product is perfect,"Great seller, highly recommend and product is perfect.",27/12/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Very dry and lights super quick,"Very good kindling, dry and burns well. Would recommend.",02/08/2023
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Awesome — a note and a treat from Sammy,"Awesome service from this company. When I opened my order there was a note and a treat from Sammy which made me smile. Thanks again, I really appreciate it.",17/08/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,The little touches that make you remember,Omg will def use again. They even supplied the matches and gave us sweets to say thank you for the order! It's the little touches like these that will make us remember and use again. I wish them every success.,11/07/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Arrived ahead of schedule with a treat,Great wood at a good price and all delivered ahead of schedule. Also (spoiler alert) the little treat in the box was very much appreciated and enjoyed :) THANKYOU,12/11/2024
